S.no,Name ,Bounty
1,Gol D. Roger,"฿5,564,800,000"
2,Edward Newgate,"฿5,046,000,000"
3,Kaidou,"฿4,611,100,000"
4,Charlotte Linlin,"฿4,388,000,000"
5,Shanks,"฿4,048,900,000"
6,Marshall D. Teach,"฿2,247,600,000"
7,Monkey D. Luffy,"฿1,500,000,000"
8,King,"฿1,390,000,000"
9,Marco,"฿1,374,000,000"
10,Queen,"฿1,320,000,000"
11,Charlotte Katakuri,"฿1,057,000,000"
12,Jack,"฿1,000,000,000"
13,Charlotte Smoothie,"฿932,000,000"
14,Charlotte Cracker,"฿860,000,000"
15,Charlotte Perospero,"฿700,000,000"
16,Sabo,"฿602,000,000"
17,Charlotte Snack,"฿600,000,000"
18,Little Oars Jr.,"฿550,000,000"
18,Portgas D. Ace,"฿550,000,000"
20,Who's-Who,"฿546,000,000"
21,Chinjao,"฿542,000,000"
22,Izou,"฿510,000,000"
23,Trafalgar D. Water Law,"฿500,000,000"
24,Black Maria,"฿480,000,000"
24,Edward Weevil,"฿480,000,000"
26,Sasaki,"฿472,000,000"
27,Eustass Kid,"฿470,000,000"
28,Belo Betty,"฿457,000,000"
29,Jinbe,"฿438,000,000"
30,Tamago,"฿429,000,000"
31,Karasu,"฿400,000,000"
31,Ulti,"฿400,000,000"
33,Pedro,"฿382,000,000"
34,Capone Bege,"฿350,000,000"
34,Scratchmen Apoo,"฿350,000,000"
36,Donquixote Doflamingo,"฿340,000,000"
37,Cavendish,"฿330,000,000"
37,Pekoms,"฿330,000,000"
37,Vinsmoke Sanji,"฿330,000,000"
40,Basil Hawkins,"฿320,000,000"
40,Gecko Moria,"฿320,000,000"
40,Roronoa Zoro,"฿320,000,000"
43,Lindbergh,"฿316,000,000"
44,Caesar Clown,"฿300,000,000"
44,Charlotte Daifuku,"฿300,000,000"
44,Charlotte Oven,"฿300,000,000"
47,Bartholomew Kuma,"฿296,000,000"
48,Morley,"฿293,000,000"
49,Page One,"฿290,000,000"
50,Fisher Tiger,"฿230,000,000"
51,X Drake,"฿222,000,000"
52,Caribou,"฿210,000,000"
52,Sai,"฿210,000,000"
52,Squard,"฿210,000,000"
55,Bartolomeo,"฿200,000,000"
55,Killer,"฿200,000,000"
55,Usopp,"฿200,000,000"
58,Bellamy,"฿195,000,000"
59,Coribou,"฿190,000,000"
60,Orlumbus,"฿148,000,000"
61,Jewelry Bonney,"฿140,000,000"
62,Nico Robin,"฿130,000,000"
63,Charlotte Mont-d'Or,"฿120,000,000"
64,Urouge,"฿108,000,000"
65,Bobbin,"฿105,500,000"
66,Brogy,"฿100,000,000"
66,Dorry,"฿100,000,000"
68,Diamante,"฿99,000,000"
68,Pica,"฿99,000,000"
68,Trebol,"฿99,000,000"
71,Vito,"฿95,000,000"
72,Franky,"฿94,000,000"
72,Rockstar,"฿94,000,000"
74,Albion,"฿92,000,000"
75,Gotti,"฿90,000,000"
76,Lip Doughty,"฿88,000,000"
77,Brook,"฿83,000,000"
78,Crocodile,"฿81,000,000"
79,Chadros Higelyges,"฿80,060,000"
80,Boa Hancock,"฿80,000,000"
81,Nico Olvia,"฿79,000,000"
82,Daz Bones,"฿75,000,000"
82,Raccoon,"฿75,000,000"
84,Gyro,"฿73,000,000"
85,Doc Q,"฿72,000,000"
86,Gambia,"฿67,000,000"
86,Suleiman,"฿67,000,000"
88,Nami,"฿66,000,000"
89,Van Augur,"฿64,000,000"
90,Lao G,"฿61,000,000"
91,Devil Dias,"฿60,000,000"
92,Senor Pink,"฿58,000,000"
93,Kelly Funk,"฿57,000,000"
94,(pirate shot by Demaro Black in chapter 598),"฿55,000,000"
95,Peachbeard,"฿52,000,000"
96,(pirate defeated by Smoker in chapter 439),"฿50,000,000"
97,Laffitte,"฿42,200,000"
98,(criminal defeated by Mr. 3),"฿42,000,000"
98,Roshio,"฿42,000,000"
100,Boa Marigold,"฿40,000,000"
100,Boa Sandersonia,"฿40,000,000"
102,Sarquiss,"฿38,000,000"
103,Bobby Funk,"฿36,000,000"
103,Mikazuki,"฿36,000,000"
103,Shoujou,"฿36,000,000"
106,Zala,"฿35,000,000"
107,Bentham,"฿32,000,000"
108,Gladius,"฿31,000,000"
109,Marianne,"฿29,000,000"
110,Demaro Black,"฿26,000,000"
111,Mont Blanc Cricket,"฿25,000,000"
112,Charlotte Lola,"฿24,000,000"
112,Foxy,"฿24,000,000"
112,Galdino,"฿24,000,000"
115,Masira,"฿23,000,000"
116,Arlong,"฿20,000,000"
116,Jesus Burgess,"฿20,000,000"
116,Rock (Yeti),"฿20,000,000"
116,Scotch (Yeti),"฿20,000,000"
120,Krieg,"฿17,000,000"
120,Lacuba,"฿17,000,000"
122,Kuro,"฿16,000,000"
123,Buggy,"฿15,000,000"
123,Dellinger,"฿15,000,000"
125,Bluejam,"฿14,300,000"
126,Drophy,"฿14,000,000"
127,Gin,"฿12,000,000"
128,Machvise,"฿11,000,000"
129,Gem,"฿10,000,000"
129,Wellington,"฿10,000,000"
131,Jango,"฿9,000,000"
131,Kuroobi,"฿9,000,000"
133,Hatchan,"฿8,000,000"
133,Higuma,"฿8,000,000"
135,Curly Dadan,"฿7,800,000"
136,Mikita,"฿7,500,000"
137,Buchi,"฿7,000,000"
137,Sham,"฿7,000,000"
139,Chew,"฿5,500,000"
140,Alvida,"฿5,000,000"
141,Porchemy,"฿3,400,000"
142,Babe,"฿3,200,000"
143,Mikio Itoo,"¥1,000,000"
144,Bepo,฿500
145,Tony Tony Chopper,฿100
999,Aladdin,Unknown
999,Avalo Pizarro,Unknown
999,Benn Beckman,Unknown
999,Catarina Devon,Unknown
999,Crocus,Unknown
999,Dracule Mihawk,Unknown
999,Inazuma,Unknown
999,Jozu,Unknown
999,Koala,Unknown
999,Kozuki Oden,Unknown
999,Lucky Roux,Unknown
999,Monkey D. Dragon,Unknown
999,Sanjuan Wolf,Unknown
999,Shiryu,Unknown
999,Silvers Rayleigh,Unknown
999,Vasco Shot,Unknown
999,Vista,Unknown
999,Yasopp,Unknown
999,Yorki,Unknown
999,Zeff,Unknown